Date,Budget Profit,Budget COGS,Budget Margin,Budget Sales,Profit,Margin,Sales,COGS,Total Expenses,Marketing,Inventory,Espresso,Herbal Tea,Tea,Regular,East,South,West,Small Market,Colorado,Connecticut,Florida,Illinois,Iowa,Louisiana,Massachusetts,Missouri,Nevada,New Hampshire,New Mexico,New York,Ohio,Oklahoma,Oregon,Texas,Utah,Washington,Wisconsin
2010-04-01,110.0,110.0,160.0,270.0,107.0,176.0,292.0,116.0,69.0,38.0,962.0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,90.0,80.0,130.0,210.0,75.0,135.0,225.0,90.0,60.0,29.0,1148.0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,130.0,110.0,180.0,290.0,122.0,195.0,325.0,130.0,73.0,42.0,1134.0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-01,110.0,100.0,160.0,260.0,105.0,174.0,289.0,115.0,69.0,37.0,1166.0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,90.0,80.0,130.0,210.0,104.0,135.0,223.0,90.0,56.0,29.0,1148.0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-01,90.0,80.0,130.0,210.0,104.0,135.0,223.0,90.0,56.0,29.0,1139.0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-01,110.0,90.0,150.0,240.0,135.0,155.0,275.0,103.0,64.0,33.0,1130.0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-10-01,130.0,100.0,160.0,260.0,171.0,188.0,334.0,125.0,73.0,41.0,1119.0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-11-01,130.0,110.0,180.0,290.0,181.0,195.0,346.0,130.0,73.0,42.0,1134.0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,20.0,20.0,30.0,50.0,15.0,31.0,51.0,20.0,16.0,5.0,804.0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,40.0,30.0,60.0,90.0,33.0,54.0,90.0,36.0,21.0,10.0,809.0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-01,20.0,20.0,30.0,50.0,17.0,28.0,47.0,19.0,15.0,5.0,811.0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-10-01,40.0,20.0,40.0,60.0,27.0,36.0,64.0,24.0,18.0,6.0,806.0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-11-01,40.0,30.0,60.0,90.0,49.0,54.0,96.0,36.0,21.0,10.0,809.0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,10.0,50.0,70.0,120.0,-2.0,75.0,128.0,53.0,77.0,48.0,597.0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-01,40.0,40.0,90.0,130.0,1.0,84.0,144.0,60.0,83.0,54.0,606.0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,10.0,60.0,80.0,140.0,2.0,86.0,147.0,61.0,84.0,55.0,613.0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,20.0,70.0,100.0,170.0,11.0,105.0,201.0,75.0,103.0,68.0,522.0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-01,20.0,60.0,90.0,150.0,4.0,90.0,165.0,65.0,87.0,58.0,513.0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-01,10.0,60.0,80.0,140.0,0.0,87.0,160.0,63.0,87.0,57.0,506.0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-01,10.0,60.0,80.0,140.0,0.0,87.0,160.0,63.0,87.0,57.0,521.0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-01,20.0,60.0,90.0,150.0,4.0,90.0,153.0,64.0,81.0,58.0,551.0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-01,20.0,50.0,90.0,140.0,3.0,87.0,159.0,62.0,85.0,56.0,612.0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-12-01,10.0,50.0,70.0,120.0,-3.0,76.0,140.0,55.0,78.0,49.0,627.0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,40.0,50.0,70.0,120.0,29.0,75.0,130.0,55.0,46.0,18.0,305.0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,40.0,40.0,70.0,110.0,22.0,65.0,113.0,48.0,43.0,15.0,334.0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,20.0,40.0,50.0,90.0,16.0,57.0,100.0,43.0,41.0,14.0,388.0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,20.0,40.0,50.0,90.0,16.0,56.0,98.0,42.0,40.0,13.0,384.0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
